descriptor_ui,replication_count,nodes
D000201,3,"node_10,node_7,node_8"
D000202,3,"node_1,node_2,node_8"
D000203,6,"node_1,node_10,node_3,node_5,node_7,node_8"
D000204,3,"node_1,node_7,node_8"
D000205,3,"node_1,node_2,node_9"
D000206,6,"node_1,node_10,node_2,node_3,node_7,node_8"
D000208,3,"node_10,node_5,node_8"
D000209,3,"node_1,node_2,node_9"
D000210,3,"node_10,node_5,node_8"
D000212,3,"node_3,node_7,node_9"
D000213,3,"node_1,node_2,node_9"
D000214,7,"node_1,node_10,node_2,node_3,node_5,node_7,node_9"
D000215,5,"node_2,node_3,node_7,node_8,node_9"
D000216,3,"node_10,node_3,node_9"
D000217,3,"node_10,node_3,node_9"
D000218,3,"node_1,node_3,node_9"
D000219,4,"node_1,node_10,node_5,node_8"
D000220,3,"node_3,node_7,node_8"
D000221,3,"node_10,node_7,node_8"
D000222,4,"node_3,node_5,node_7,node_8"
D000223,3,"node_10,node_5,node_7"
D000224,4,"node_1,node_2,node_7,node_8"
D000225,3,"node_3,node_7,node_9"
D000226,3,"node_1,node_2,node_9"
D000227,5,"node_2,node_3,node_5,node_7,node_9"
D000228,3,"node_10,node_3,node_9"
D000229,3,"node_2,node_5,node_7"
D000230,3,"node_3,node_7,node_8"
D000231,3,"node_3,node_7,node_8"
D000232,3,"node_3,node_7,node_8"
D000233,3,"node_1,node_3,node_8"
D000234,6,"node_1,node_10,node_3,node_5,node_7,node_8"
D000235,3,"node_3,node_7,node_8"
D000236,3,"node_3,node_7,node_8"
D000237,3,"node_3,node_7,node_8"
D000238,3,"node_3,node_7,node_8"
D000239,3,"node_3,node_7,node_8"
D000241,5,"node_1,node_2,node_3,node_7,node_9"
D000242,5,"node_2,node_3,node_5,node_7,node_9"
D000243,3,"node_10,node_3,node_9"
D000244,5,"node_2,node_3,node_5,node_7,node_9"
D000245,6,"node_1,node_2,node_3,node_5,node_7,node_9"
D000246,6,"node_1,node_2,node_3,node_5,node_7,node_9"
D000247,6,"node_1,node_2,node_3,node_5,node_7,node_9"
D000248,3,"node_10,node_3,node_9"
D000249,5,"node_2,node_3,node_5,node_7,node_9"
D000250,5,"node_2,node_3,node_5,node_7,node_9"
D000251,3,"node_10,node_3,node_9"
D000252,5,"node_1,node_10,node_2,node_3,node_9"
D000254,5,"node_1,node_10,node_2,node_3,node_9"
D000255,5,"node_2,node_3,node_5,node_7,node_9"
D000256,3,"node_2,node_5,node_7"
D000257,3,"node_7,node_8,node_9"
D000258,3,"node_7,node_8,node_9"
D000259,3,"node_2,node_5,node_7"
D000260,3,"node_2,node_5,node_7"
D000261,3,"node_2,node_5,node_7"
D000262,5,"node_1,node_10,node_2,node_3,node_9"
D000263,3,"node_10,node_3,node_9"
D000264,3,"node_10,node_3,node_9"
D000265,3,"node_10,node_3,node_9"
D000266,5,"node_2,node_3,node_5,node_7,node_9"
D000267,3,"node_10,node_5,node_8"
D000268,3,"node_2,node_3,node_7"
D000269,5,"node_1,node_5,node_7,node_8,node_9"
D000270,6,"node_1,node_2,node_3,node_5,node_7,node_8"
D000272,3,"node_1,node_7,node_9"
D000273,3,"node_3,node_5,node_8"
D000274,5,"node_10,node_2,node_3,node_5,node_8"
D000275,3,"node_1,node_10,node_7"
D000276,3,"node_2,node_7,node_9"
D000277,4,"node_1,node_5,node_7,node_9"
D000278,3,"node_10,node_2,node_8"
D000279,3,"node_10,node_2,node_8"
D000280,3,"node_10,node_2,node_8"
D000281,3,"node_10,node_2,node_8"
D000282,3,"node_10,node_2,node_8"
D000283,3,"node_10,node_2,node_8"
D000284,3,"node_10,node_2,node_8"
D000285,3,"node_10,node_2,node_8"
D000286,3,"node_10,node_2,node_8"
D000287,3,"node_10,node_2,node_8"
D000288,3,"node_10,node_2,node_7"
D000289,5,"node_2,node_3,node_5,node_7,node_8"
D000290,3,"node_2,node_5,node_8"
D000291,3,"node_10,node_5,node_8"
D000292,5,"node_10,node_2,node_5,node_8,node_9"
D000293,3,"node_2,node_3,node_7"
D000294,3,"node_10,node_3,node_7"
D000295,3,"node_10,node_3,node_9"
D000296,5,"node_10,node_3,node_5,node_7,node_9"
D000297,3,"node_3,node_5,node_7"
D000298,3,"node_10,node_2,node_7"
D000299,3,"node_10,node_2,node_7"
D000300,3,"node_10,node_2,node_5"
D000301,3,"node_1,node_10,node_9"
D000302,3,"node_10,node_2,node_8"
D000303,3,"node_2,node_7,node_8"
D000304,3,"node_1,node_5,node_8"
D000305,3,"node_1,node_8,node_9"
D000306,6,"node_10,node_2,node_3,node_5,node_7,node_8"
D000307,3,"node_2,node_7,node_8"
D000308,3,"node_2,node_7,node_8"
D000309,3,"node_2,node_7,node_8"
D000310,6,"node_10,node_2,node_3,node_5,node_7,node_8"
D000311,3,"node_10,node_2,node_8"
D000312,7,"node_1,node_10,node_2,node_3,node_5,node_7,node_8"
D000313,3,"node_10,node_2,node_8"
D000314,3,"node_3,node_7,node_8"
D000315,3,"node_1,node_3,node_8"
D000316,3,"node_2,node_7,node_9"
