placement_type,operation,runtime_seconds,operation_nodes,contacted_nodes,available_nodes,fragment_count,stretch,jump
tuple_ilp,DELETE,0.055623100022785366,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021656199998687953,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026860399986617267,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020490200025960803,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.021262800000840798,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05587260000174865,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.02049039999837987,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.025493699999060482,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.02252339999540709,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.02343169998493977,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.058422100002644584,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.02042099999380298,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026539500016951934,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.03252010000869632,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022586400009458885,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05705070000840351,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020539199991617352,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.02565390002564527,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.02120489999651909,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.02383439999539405,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05667159997392446,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020969800010789186,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026012799993623048,3,"node_1,node_2,node_3",,,1.0,1
