placement_type,operation,runtime_seconds,operation_nodes,available_nodes,fragment_count
conflict_locality_ilp,INSERT,0.02763499994762242,1,,
conflict_locality_ilp,SELECT,0.021117000025697052,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.014675099984742701,1,,
conflict_locality_ilp,DELETE,0.030771000077947974,1,,
conflict_locality_ilp,SELECT,0.021900299936532974,1,3.0,3.0
conflict_locality_ilp,INSERT,0.023798700072802603,1,,
conflict_locality_ilp,SELECT,0.018719399929977953,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.014069200027734041,1,,
conflict_locality_ilp,DELETE,0.030967399943619967,1,,
conflict_locality_ilp,SELECT,0.02081080002244562,1,3.0,3.0
conflict_locality_ilp,INSERT,0.023465999984182417,1,,
conflict_locality_ilp,SELECT,0.020925199962221086,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.022014400106854737,1,,
conflict_locality_ilp,DELETE,0.031335300067439675,1,,
conflict_locality_ilp,SELECT,0.020009799976833165,1,3.0,3.0
conflict_locality_ilp,INSERT,0.023696199990808964,1,,
conflict_locality_ilp,SELECT,0.017728299950249493,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.015948600019328296,1,,
conflict_locality_ilp,DELETE,0.030941499979235232,1,,
conflict_locality_ilp,SELECT,0.0232582000317052,1,3.0,3.0
conflict_locality_ilp,INSERT,0.021554599981755018,1,,
conflict_locality_ilp,SELECT,0.018382499925792217,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.014521100092679262,1,,
conflict_locality_ilp,DELETE,0.03221790003590286,1,,
conflict_locality_ilp,SELECT,0.02160769992042333,1,3.0,3.0
conflict_locality_ilp,INSERT,0.02848400000948459,1,,
conflict_locality_ilp,SELECT,0.01842230011243373,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.01643239997792989,1,,
conflict_locality_ilp,DELETE,0.032815299928188324,1,,
conflict_locality_ilp,SELECT,0.019683899939991534,1,3.0,3.0
conflict_locality_ilp,INSERT,0.023020299966447055,1,,
conflict_locality_ilp,SELECT,0.021645799977704883,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.01364229992032051,1,,
conflict_locality_ilp,DELETE,0.03104249993339181,1,,
conflict_locality_ilp,SELECT,0.019002299988642335,1,3.0,3.0
conflict_locality_ilp,INSERT,0.02456809999421239,1,,
conflict_locality_ilp,SELECT,0.020615399931557477,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.022403900045901537,1,,
conflict_locality_ilp,DELETE,0.03406960004940629,1,,
conflict_locality_ilp,SELECT,0.020738499937579036,1,3.0,3.0
conflict_locality_ilp,INSERT,0.025643099914304912,1,,
conflict_locality_ilp,SELECT,0.018966499948874116,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.013433200074359775,1,,
conflict_locality_ilp,DELETE,0.03122020000591874,1,,
conflict_locality_ilp,SELECT,0.020419000065885484,1,3.0,3.0
conflict_locality_ilp,INSERT,0.020544600090943277,1,,
conflict_locality_ilp,SELECT,0.01789490005467087,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.013986900099553168,1,,
conflict_locality_ilp,DELETE,0.03118039993569255,1,,
conflict_locality_ilp,SELECT,0.025208799983374774,1,3.0,3.0
conflict_locality_ilp,INSERT,0.02012620004825294,1,,
conflict_locality_ilp,SELECT,0.01859849994070828,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.01429750001989305,1,,
conflict_locality_ilp,DELETE,0.030543599976226687,1,,
conflict_locality_ilp,SELECT,0.019650000031106174,1,3.0,3.0
conflict_locality_ilp,INSERT,0.021326100104488432,1,,
conflict_locality_ilp,SELECT,0.01642339990939945,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.013697999995201826,1,,
conflict_locality_ilp,DELETE,0.030374900088645518,1,,
conflict_locality_ilp,SELECT,0.018222799990326166,1,3.0,3.0
conflict_locality_ilp,INSERT,0.021885499940253794,1,,
conflict_locality_ilp,SELECT,0.018045299919322133,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.02028179995249957,1,,
conflict_locality_ilp,DELETE,0.031016299966722727,1,,
