descriptor_ui,descriptor_name,metadata_json,item_size_bytes,tree_number,tree_number_count,top_category,branch_code,subbranch_code
D000431,Ethanol,"{""scope_notes"":[""A clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in ALCOHOLIC BEVERAGES.\n    ""],""entry_terms"":[""Absolute Alcohol"",""Alcohol, Absolute"",""Alcohol, Ethyl"",""Alcohol, Grain"",""Ethanol"",""Ethyl Alcohol"",""Grain Alcohol""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000031"",""qualifier_name"":""analogs & derivatives"",""abbreviation"":""AA""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":""for \""alcohol\"" unspecified; /antag: consider also ALCOHOL DETERRENTS; ethanol production by organisms = /metab; use/pois for acute alcohol poisoning & acute alcoholic intoxication; available also are ALCOHOL DRINKING and specifics, DRUNKENNESS see ALCOHOLIC INTOXICATION, ALCOHOLISM, ALCOHOLIC BEVERAGES and  ALCOHOL ABSTINENCE; hypophysectomy by alcohol injection = HYPOPHYSECTOMY, CHEMICAL & do not index ETHANOL unless particularly discussed\n  ""}",3005,D02.033.375,1,D,D02,D02.033
D000432,Methanol,"{""scope_notes"":[""A colorless, flammable liquid used in the manufacture of FORMALDEHYDE and ACETIC ACID, in chemical synthesis, antifreeze, and as a solvent. Ingestion of methanol is toxic and may cause blindness.\n    ""],""entry_terms"":[""Alcohol, Methyl"",""Alcohol, Wood"",""Carbinol"",""Methanol"",""Methoxide, Sodium"",""Methyl Alcohol"",""Sodium Methoxide"",""Wood Alcohol""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000031"",""qualifier_name"":""analogs & derivatives"",""abbreviation"":""AA""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":""for wood alcohol\n  ""}",2451,D02.033.623,1,D,D02,D02.033
D000433,1-Propanol,"{""scope_notes"":[""A colorless liquid made by oxidation of aliphatic hydrocarbons that is used as a solvent and chemical intermediate.\n    ""],""entry_terms"":[""1-Propanol"",""Alcohol, Propyl"",""Propanol"",""Propyl Alcohol"",""n-Propanol""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":null}",2212,D02.033.755.600,1,D,D02,D02.033
D000434,Alcoholic Beverages,"{""scope_notes"":[""Drinkable liquids containing ETHANOL.\n    ""],""entry_terms"":[""Alcoholic Beverage"",""Alcoholic Beverages"",""Beverage, Alcoholic"",""Beverages, Alcoholic""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""}],""annotation"":""general or unspecified; prefer specifics; chronic consumption of alcoholic beverages = ALCOHOLISM\n  ""}",1543,G07.203.100.100,2,G,G07,G07.203
D000435,Alcoholic Intoxication,"{""scope_notes"":[""An acute brain syndrome which results from the excessive ingestion of ETHANOL or ALCOHOLIC BEVERAGES.\n    ""],""entry_terms"":[""Alcoholic Intoxication"",""Drunkenness"",""Drunkennesses"",""Intoxication, Alcoholic""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000150"",""qualifier_name"":""complications"",""abbreviation"":""CO""},{""qualifier_ui"":""Q000151"",""qualifier_name"":""congenital"",""abbreviation"":""CN""},{""qualifier_ui"":""Q000175"",""qualifier_name"":""diagnosis"",""abbreviation"":""DI""},{""qualifier_ui"":""Q000178"",""qualifier_name"":""diet therapy"",""abbreviation"":""DH""},{""qualifier_ui"":""Q000188"",""qualifier_name"":""drug therapy"",""abbreviation"":""DT""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000209"",""qualifier_name"":""etiology"",""abbreviation"":""ET""},{""qualifier_ui"":""Q000235"",""qualifier_name"":""genetics"",""abbreviation"":""GE""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000453"",""qualifier_name"":""epidemiology"",""abbreviation"":""EP""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000517"",""qualifier_name"":""prevention & control"",""abbreviation"":""PC""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000532"",""qualifier_name"":""radiotherapy"",""abbreviation"":""RT""},{""qualifier_ui"":""Q000534"",""qualifier_name"":""rehabilitation"",""abbreviation"":""RH""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000628"",""qualifier_name"":""therapy"",""abbreviation"":""TH""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""human & animal\n  ""}",2955,C25.775.100.175,2,C,C25,C25.775
D000436,Alcoholics Anonymous,"{""scope_notes"":[""An organization of self-proclaimed alcoholics who meet frequently to reinforce their practice of abstinence.\n    ""],""entry_terms"":[""Alcoholics Anonymous"",""Anonymous, Alcoholics""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000458"",""qualifier_name"":""organization & administration"",""abbreviation"":""OG""}],""annotation"":""CATALOGER: use NAF entry\n  ""}",539,N03.540.782.270,1,N,N03,N03.540
D000437,Alcoholism,"{""scope_notes"":[""A primary, chronic disease with genetic, psychosocial, and environmental factors influencing its development and manifestations. The disease is often progressive and fatal. It is characterized by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse consequences, and distortions in thinking, most notably denial. Each of these symptoms may be continuous or periodic. (Morse & Flavin for the Joint Commission of the National Council on Alcoholism and Drug Dependence and the American Society of Addiction Medicine to Study the Definition and Criteria for the Diagnosis of Alcoholism: in JAMA 1992;268:1012-4)\n    ""],""entry_terms"":[""Abuse, Alcohol"",""Abuse, Ethanol"",""Addiction, Alcohol"",""Alcohol Abuse"",""Alcohol Addiction"",""Alcohol Dependence"",""Alcohol Use Disorder"",""Alcohol Use Disorders"",""Alcoholic Intoxication, Chronic"",""Alcoholism"",""Chronic Alcoholic Intoxication"",""Dependence, Alcohol"",""Ethanol Abuse"",""Intoxication, Chronic Alcoholic"",""Use Disorders, Alcohol""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000150"",""qualifier_name"":""complications"",""abbreviation"":""CO""},{""qualifier_ui"":""Q000175"",""qualifier_name"":""diagnosis"",""abbreviation"":""DI""},{""qualifier_ui"":""Q000178"",""qualifier_name"":""diet therapy"",""abbreviation"":""DH""},{""qualifier_ui"":""Q000188"",""qualifier_name"":""drug therapy"",""abbreviation"":""DT""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000209"",""qualifier_name"":""etiology"",""abbreviation"":""ET""},{""qualifier_ui"":""Q000235"",""qualifier_name"":""genetics"",""abbreviation"":""GE""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000453"",""qualifier_name"":""epidemiology"",""abbreviation"":""EP""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000517"",""qualifier_name"":""prevention & control"",""abbreviation"":""PC""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000532"",""qualifier_name"":""radiotherapy"",""abbreviation"":""RT""},{""qualifier_ui"":""Q000534"",""qualifier_name"":""rehabilitation"",""abbreviation"":""RH""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000628"",""qualifier_name"":""therapy"",""abbreviation"":""TH""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""human and animal; note entry term ALCOHOLIC INTOXICATION, CHRONIC: do not coordinate with CHRONIC DISEASE; available also are BINGE DRINKING, DRUNKENNESS see ALCOHOLIC INTOXICATION and ALCOHOLICS; acute alcoholic intoxication = ETHANOL/pois; consider also ALCOHOL-INDUCED DISORDERS and specifics; index other complications of alcoholism under ALCOHOLISM /compl + disease /etiol not /chem ind; abstinence from alcohol in alcoholism: coordinate with TEMPERANCE\n  ""}",4118,C25.775.100.250,2,C,C25,C25.775
D000438,Alcohols,"{""scope_notes"":[""Alkyl compounds containing a hydroxyl group. They are classified according to relation of the carbon atom: primary alcohols, R-CH2OH; secondary alcohols, R2-CHOH; tertiary alcohols, R3-COH. (From Grant & Hackh's Chemical Dictionary, 5th ed)\n    ""],""entry_terms"":[""Alcohols""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":""do not use for \""alcohol\"" ( = ETHANOL); diols = GLYCOLS; hypophysectomy by alcohol (ethanol) injection = HYPOPHYSECTOMY, CHEMICAL & do not index under ETHANOL unless particularly discussed\n  ""}",2465,D02.033,1,D,D02,D02.033
D000439,Pentanols,"{""scope_notes"":[""Isomeric forms and derivatives of pentanol (C5H11OH).\n    ""],""entry_terms"":[""Alcohols, Amyl"",""Alcohols, Pentyl"",""Amyl Alcohols"",""Hydroxypentanes"",""Methylbutanols"",""Pentanols"",""Pentyl Alcohols""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":null}",2194,D02.033.415.640,2,D,D02,D02.033
D000440,Butanols,"{""scope_notes"":[""Isomeric forms and derivatives of butanol (C4H9OH).\n    ""],""entry_terms"":[""Alcohols, Butyl"",""Butanol"",""Butanols"",""Butyl Alcohols"",""Butylhydroxides"",""Hydroxybutanes""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":""1-BUTANOL and TERT-BUTYL ALCOHOL also available\n  ""}",2214,D02.033.415.110,2,D,D02,D02.033
