fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_title_ids
decade_1910s,decade,1910s,primary_genre_Comedy,primary_genre,Comedy,101,"tt0001709,tt0003611,tt0003902,tt0003920,tt0004094,tt0004283,tt0005582,tt0005867,tt0008946,tt0009570,tt0010083,tt0010175,tt0174788,tt0184888,tt0190466,tt0190605,tt0191648,tt0196058,tt0202796,tt0212182,tt0218826,tt0229844,tt0232342,tt0232361,tt0243945,tt0249522,tt0257195,tt0269209,tt0269990,tt0310982,tt0311243,tt0311533,tt0321833,tt0321840,tt0321853,tt0323390,tt0326755,tt0326974,tt0327031,tt0332599,tt0339810,tt0349397,tt0367957,tt0375949,tt0421845,tt0421938,tt0427613,tt0434602,tt0434603,tt0442123,tt0450693,tt0451386,tt0463198,tt0471576,tt0481195,tt0481769,tt0481957,tt0489207,tt0493945,tt0496885,tt0812282,tt0814714,tt0884207,tt0927737,tt0932943,tt0938625,tt1067179,tt1075011,tt1090257,tt1141319,tt1195743,tt1215058,tt1219237,tt1219321,tt1221896,tt1225774,tt1268245,tt1277440,tt1309572,tt1315939,tt1322889,tt1334075,tt1334267,tt1337317,tt1346359,tt1356764,tt1416668,tt1433334,tt1437297,tt1537743,tt1591065,tt1697687,tt1728139,tt1767340,tt1813201,tt2285565,tt2317650,tt2432754,tt3326830,tt5121584,tt8258674"
decade_1910s,decade,1910s,primary_genre_Crime,primary_genre,Crime,3,"tt0189453,tt0256999,tt2121791"
decade_1910s,decade,1910s,primary_genre_Documentary,primary_genre,Documentary,37,"tt0274060,tt0276872,tt0948725,tt1118631,tt1119645,tt1123949,tt1138137,tt1145450,tt1259561,tt1275829,tt12810696,tt12844094,tt12861408,tt1344032,tt1441235,tt1441249,tt1452529,tt1456897,tt1527090,tt1573784,tt1717644,tt1735450,tt1987636,tt27696573,tt3753210,tt4112180,tt4182546,tt4214562,tt4214910,tt4389278,tt5060038,tt5201470,tt8083396,tt8089738,tt8192286,tt8652334,tt8667292"
decade_1910s,decade,1910s,primary_genre_Drama,primary_genre,Drama,97,"tt0001455,tt0001686,tt0001810,tt0002842,tt0003544,tt0004422,tt0004440,tt0004600,tt0004694,tt0006118,tt0006304,tt0006710,tt0007013,tt0007689,tt0007988,tt0009939,tt0009976,tt0010354,tt0010589,tt0157621,tt0158986,tt0167844,tt0168521,tt0184033,tt0190284,tt0191256,tt0195925,tt0199375,tt0200811,tt0224353,tt0231723,tt0233163,tt0234264,tt0247215,tt0248316,tt0249205,tt0326220,tt0328166,tt0337894,tt0339615,tt0342857,tt0343378,tt0347174,tt0352571,tt0402234,tt0412443,tt0413738,tt0434557,tt0441224,tt0454206,tt0463187,tt0471361,tt0477669,tt0485958,tt0489194,tt0496071,tt0809173,tt1020081,tt1041839,tt1104760,tt1149227,tt1160546,tt1180714,tt1187284,tt1211933,tt1235918,tt1280654,tt1284522,tt1286792,tt1307932,tt1326994,tt1389566,tt1398997,tt1399093,tt1435438,tt1507367,tt1545638,tt1565007,tt1845249,tt2082165,tt2178919,tt22033594,tt22311706,tt2254173,tt2271705,tt2364974,tt2369474,tt2372288,tt2406938,tt2419252,tt32991371,tt3910986,tt4162146,tt4553234,tt4654514,tt5201578,tt5860362"
decade_1910s,decade,1910s,primary_genre_Fantasy,primary_genre,Fantasy,3,"tt0008959,tt1167495,tt2095807"
decade_1910s,decade,1910s,primary_genre_News,primary_genre,News,11,"tt4254694,tt4385750,tt4414116,tt4508096,tt4635776,tt4655038,tt4866848,tt4869868,tt4978684,tt4983644,tt5168618"
decade_1910s,decade,1910s,primary_genre_Romance,primary_genre,Romance,2,"tt0403241,tt6278258"
decade_1910s,decade,1910s,primary_genre_Short,primary_genre,Short,40,"tt0000525,tt0002906,tt0006539,tt0007335,tt0193323,tt0193409,tt0344758,tt0349927,tt0374344,tt0451456,tt0482792,tt0483104,tt0490376,tt0494514,tt0496080,tt0927736,tt0953612,tt0965193,tt0988873,tt1138158,tt1204140,tt1215041,tt1227913,tt1233285,tt1238106,tt1300285,tt1449197,tt1520844,tt1523572,tt1525812,tt1713536,tt4176454,tt4198064,tt4205508,tt4205532,tt4220936,tt6342870,tt6350958,tt8258716,tt8276932"
decade_1910s,decade,1910s,primary_genre_UNKNOWN,primary_genre,UNKNOWN,27,"tt0002094,tt0004543,tt0007214,tt0010317,tt0188947,tt0193331,tt0203925,tt0208354,tt0219972,tt0241087,tt0446949,tt0454144,tt0922909,tt0923810,tt0938831,tt0956190,tt1121112,tt1123925,tt1175671,tt1177114,tt1225720,tt1227856,tt1480802,tt1620512,tt4336402,tt4359384,tt4359392"
decade_1910s,decade,1910s,title_type_movie,title_type,movie,61,"tt0002094,tt0004543,tt0006118,tt0007214,tt0007689,tt0007988,tt0008114,tt0008946,tt0008959,tt0009570,tt0009939,tt0009976,tt0010083,tt0010175,tt0010317,tt0010354,tt0010589,tt0157621,tt0158986,tt0168521,tt0175342,tt0184033,tt0188947,tt0189453,tt0190466,tt0191256,tt0193331,tt0203925,tt0208354,tt0219972,tt0241087,tt0276872,tt0343378,tt0347174,tt0446949,tt0454144,tt0922909,tt0923810,tt0938831,tt0956190,tt1090257,tt1121112,tt1123925,tt1175671,tt1177114,tt11784616,tt1225720,tt1227856,tt1344032,tt1480802,tt1565007,tt1620512,tt22311706,tt2364974,tt2372288,tt32991371,tt4336402,tt4359384,tt4359392,tt5860362,tt6278258"
decade_1910s,decade,1910s,title_type_short,title_type,short,275,"tt0000525,tt0001455,tt0001686,tt0001709,tt0001810,tt0002842,tt0002906,tt0003544,tt0003611,tt0003902,tt0003920,tt0004094,tt0004283,tt0004422,tt0004440,tt0004600,tt0004694,tt0004987,tt0005582,tt0005867,tt0006304,tt0006539,tt0006710,tt0007013,tt0007335,tt0010517,tt0146655,tt0167844,tt0174788,tt0184888,tt0190284,tt0190605,tt0191648,tt0193323,tt0193409,tt0195925,tt0196058,tt0199375,tt0200811,tt0202796,tt0212182,tt0218826,tt0224353,tt0229844,tt0231723,tt0232342,tt0232361,tt0233163,tt0234264,tt0243945,tt0247215,tt0248316,tt0249205,tt0249522,tt0256999,tt0257195,tt0269209,tt0269990,tt0274060,tt0310982,tt0311243,tt0311533,tt0321833,tt0321840,tt0321853,tt0323390,tt0326220,tt0326755,tt0326974,tt0327031,tt0328166,tt0332599,tt0337894,tt0339615,tt0339810,tt0342857,tt0344758,tt0349397,tt0349927,tt0352571,tt0362811,tt0363136,tt0364614,tt0365507,tt0367957,tt0370740,tt0371175,tt0374344,tt0375949,tt0402234,tt0403241,tt0412443,tt0413738,tt0421845,tt0421938,tt0427186,tt0427613,tt0434557,tt0434602,tt0434603,tt0441224,tt0442123,tt0450693,tt0451386,tt0451456,tt0454206,tt0463187,tt0463198,tt0471361,tt0471576,tt0477669,tt0481195,tt0481769,tt0481957,tt0482792,tt0483104,tt0485958,tt0489194,tt0489207,tt0490376,tt0493945,tt0494514,tt0496071,tt0496080,tt0496885,tt0809173,tt0812282,tt0814714,tt0884207,tt0927736,tt0927737,tt0932943,tt0938625,tt0948725,tt0953612,tt0965193,tt0988873,tt1020081,tt1041839,tt1067179,tt1075011,tt1104760,tt1118631,tt1119645,tt1123949,tt1138137,tt1138158,tt1141319,tt1145450,tt1149227,tt1160546,tt1167495,tt1180714,tt1187284,tt1195743,tt1204140,tt1211933,tt1215041,tt1215058,tt1219237,tt1219321,tt1221896,tt1225774,tt1227913,tt1233285,tt1235918,tt1238106,tt1259561,tt1268245,tt1275829,tt1277440,tt1280654,tt12810696,tt12844094,tt1284522,tt12861408,tt1286792,tt1300285,tt1307932,tt1309572,tt1315939,tt1322889,tt1326994,tt1334075,tt1334267,tt1337317,tt1346359,tt1356764,tt1389566,tt1398997,tt1399093,tt1416668,tt1433334,tt1435438,tt1437297,tt1441235,tt1441249,tt1449197,tt1452529,tt1456897,tt1496024,tt1507367,tt1520844,tt1523572,tt1525812,tt1527090,tt1537743,tt1545638,tt1573784,tt1591065,tt1697687,tt1713536,tt1717644,tt1728139,tt1735450,tt1767340,tt1813201,tt1845249,tt1987636,tt2082165,tt2095807,tt2121791,tt2178919,tt22033594,tt2254173,tt2271705,tt2285565,tt2317650,tt2369474,tt2406938,tt2419252,tt2432754,tt27696573,tt3155456,tt3326830,tt3753210,tt3910986,tt4112180,tt4162146,tt4176454,tt4182546,tt4198064,tt4205508,tt4205532,tt4214562,tt4214910,tt4220936,tt4254694,tt4385750,tt4389278,tt4414116,tt4508096,tt4553234,tt4635776,tt4654514,tt4655038,tt4866848,tt4869868,tt4978684,tt4983644,tt5060038,tt5121584,tt5168618,tt5201470,tt5201578,tt6342870,tt6350958,tt8083396,tt8089738,tt8192286,tt8258674,tt8258716,tt8276932,tt8652334,tt8667292"
decade_1920s,decade,1920s,primary_genre_Action,primary_genre,Action,6,"tt0012298,tt0013340,tt0017943,tt0020396,tt0312679,tt0867433"
decade_1920s,decade,1920s,primary_genre_Adventure,primary_genre,Adventure,9,"tt0011197,tt0012881,tt0017388,tt0303908,tt0322165,tt0348618,tt0443015,tt0958070,tt21918652"
decade_1920s,decade,1920s,primary_genre_Animation,primary_genre,Animation,11,"tt0011610,tt0011686,tt0011903,tt0013936,tt0016848,tt0141811,tt0142869,tt0146995,tt0147670,tt0289876,tt0403240"
decade_1920s,decade,1920s,primary_genre_Comedy,primary_genre,Comedy,38,"tt0012554,tt0012927,tt0013179,tt0015476,tt0015614,tt0015836,tt0016888,tt0020549,tt0123283,tt0126891,tt0127663,tt0134721,tt0140607,tt0149955,tt0165875,tt0172491,tt0174594,tt0177379,tt0235550,tt0248274,tt0273545,tt0310987,tt0323559,tt0327924,tt0340291,tt0373214,tt0436919,tt0437650,tt0450744,tt0452475,tt0473997,tt0474049,tt0862787,tt0991127,tt21856478,tt3138184,tt3691800,tt3783550"
decade_1920s,decade,1920s,primary_genre_Crime,primary_genre,Crime,2,"tt0012551,tt0307165"
decade_1920s,decade,1920s,primary_genre_Documentary,primary_genre,Documentary,17,"tt0012221,tt0018209,tt0122789,tt0137336,tt0146348,tt0307183,tt0391421,tt0393360,tt0398107,tt0991117,tt0994884,tt0997391,tt1032248,tt1035431,tt3442400,tt3442420,tt5442786"
decade_1920s,decade,1920s,primary_genre_Drama,primary_genre,Drama,40,"tt0011286,tt0011557,tt0012435,tt0012519,tt0014175,tt0014395,tt0014999,tt0015165,tt0015237,tt0015429,tt0015940,tt0017536,tt0018482,tt0018833,tt0019474,tt0019583,tt0019850,tt0171838,tt0179912,tt0191063,tt0196715,tt0249048,tt0305886,tt0312483,tt0329279,tt0351682,tt0440669,tt0454920,tt0956250,tt10902414,tt10964808,tt12050318,tt12100962,tt21634954,tt4509984,tt4954676,tt7155362,tt7766278,tt8698866,tt9438194"
decade_1920s,decade,1920s,primary_genre_History,primary_genre,History,1,tt1679556
decade_1920s,decade,1920s,primary_genre_Music,primary_genre,Music,4,"tt0142079,tt1309443,tt1332683,tt3802056"
decade_1920s,decade,1920s,primary_genre_Musical,primary_genre,Musical,1,tt2780188
decade_1920s,decade,1920s,primary_genre_Short,primary_genre,Short,10,"tt0015610,tt0250576,tt0346988,tt1050757,tt12833256,tt1300178,tt1644522,tt1932603,tt21374996,tt5964014"
decade_1920s,decade,1920s,primary_genre_Sport,primary_genre,Sport,1,tt0011600
decade_1920s,decade,1920s,primary_genre_UNKNOWN,primary_genre,UNKNOWN,30,"tt0011479,tt0016342,tt0018542,tt0130732,tt0136206,tt0136239,tt0155880,tt0156569,tt0195174,tt0198374,tt0199893,tt0203857,tt0215377,tt0244034,tt0250578,tt0325409,tt0333582,tt0441378,tt0451258,tt0881289,tt1644674,tt1646893,tt1666013,tt1679689,tt2925076,tt3522960,tt4546196,tt4586556,tt4806226,tt5050650"
decade_1920s,decade,1920s,title_type_movie,title_type,movie,103,"tt0011197,tt0011286,tt0011479,tt0011557,tt0011600,tt0012221,tt0012298,tt0012435,tt0012519,tt0012551,tt0012554,tt0012881,tt0012927,tt0013179,tt0013340,tt0014175,tt0014395,tt0014999,tt0015165,tt0015237,tt0015429,tt0015476,tt0015940,tt0016342,tt0017388,tt0017536,tt0017943,tt0018209,tt0018482,tt0018542,tt0018833,tt0019474,tt0019583,tt0019850,tt0020396,tt0020549,tt0126891,tt0127663,tt0130732,tt0134721,tt0136206,tt0136239,tt0137336,tt0140607,tt0155880,tt0156569,tt0165875,tt0171838,tt0172491,tt0177379,tt0179912,tt0191063,tt0195174,tt0196715,tt0198374,tt0199893,tt0203857,tt0215377,tt0244034,tt0249048,tt0250578,tt0303908,tt0312483,tt0312679,tt0322165,tt0325409,tt0329279,tt0333582,tt0351682,tt0393360,tt0440669,tt0441378,tt0443015,tt0451258,tt0454920,tt0867433,tt0881289,tt0956250,tt0958070,tt10902414,tt10964808,tt12050318,tt12100962,tt1644674,tt1646893,tt1666013,tt1679556,tt1679689,tt21634954,tt21856478,tt21918652,tt2925076,tt3522960,tt4509984,tt4546196,tt4586556,tt4806226,tt4954676,tt5050650,tt7155362,tt7766278,tt8698866,tt9438194"
decade_1920s,decade,1920s,title_type_short,title_type,short,67,"tt0011610,tt0011686,tt0011903,tt0013936,tt0015610,tt0015614,tt0015836,tt0016848,tt0016888,tt0122789,tt0123283,tt0141811,tt0142079,tt0142869,tt0146348,tt0146995,tt0147670,tt0149955,tt0174594,tt0235550,tt0248274,tt0250576,tt0273545,tt0289876,tt0305886,tt0307165,tt0307183,tt0310987,tt0323559,tt0327924,tt0340291,tt0346988,tt0348618,tt0373214,tt0391421,tt0398107,tt0403240,tt0436919,tt0437650,tt0450744,tt0452475,tt0473997,tt0474049,tt0862787,tt0991117,tt0991127,tt0994884,tt0997391,tt1032248,tt1035431,tt1050757,tt12833256,tt1300178,tt1309443,tt1332683,tt1644522,tt1932603,tt21374996,tt2780188,tt3138184,tt3442400,tt3442420,tt3691800,tt3783550,tt3802056,tt5442786,tt5964014"
decade_1930s,decade,1930s,primary_genre_Action,primary_genre,Action,3,"tt0023900,tt0029994,tt9066652"
decade_1930s,decade,1930s,primary_genre_Adventure,primary_genre,Adventure,5,"tt0025416,tt0025681,tt0030485,tt0165074,tt0230301"
decade_1930s,decade,1930s,primary_genre_Animation,primary_genre,Animation,7,"tt0024920,tt0025126,tt0031240,tt0148629,tt0153978,tt0161338,tt0443060"
decade_1930s,decade,1930s,primary_genre_Comedy,primary_genre,Comedy,29,"tt0020671,tt0020894,tt0021196,tt0022227,tt0022434,tt0022883,tt0025239,tt0025448,tt0025796,tt0026501,tt0026551,tt0027214,tt0027859,tt0028695,tt0028987,tt0031158,tt0182909,tt0194651,tt0250999,tt0331241,tt0416754,tt0829258,tt0832864,tt1489254,tt1934240,tt38632738,tt4487882,tt5255444,tt9139014"
decade_1930s,decade,1930s,primary_genre_Crime,primary_genre,Crime,5,"tt0021052,tt0022876,tt0026246,tt0028360,tt0150495"
decade_1930s,decade,1930s,primary_genre_Documentary,primary_genre,Documentary,27,"tt0025664,tt0025913,tt0128186,tt0128943,tt0130872,tt0212186,tt0225758,tt0294347,tt0406738,tt0407239,tt0481414,tt0497825,tt0948654,tt1270659,tt1624934,tt1743326,tt18937546,tt2094184,tt22405258,tt33333509,tt39053756,tt39075486,tt39206123,tt39206659,tt41869026,tt5194786,tt6068986"
decade_1930s,decade,1930s,primary_genre_Drama,primary_genre,Drama,36,"tt0020661,tt0021243,tt0021570,tt0023128,tt0024060,tt0024143,tt0024560,tt0024867,tt0025403,tt0025883,tt0027139,tt0030479,tt0030692,tt0031267,tt0031269,tt0031542,tt0031556,tt0032080,tt0140388,tt0160970,tt0165167,tt0237654,tt0254216,tt0259257,tt0264788,tt0438469,tt0787248,tt10732732,tt10774304,tt11143714,tt11640796,tt11670494,tt1226772,tt3884080,tt7810150,tt8871264"
decade_1930s,decade,1930s,primary_genre_Musical,primary_genre,Musical,2,"tt0022029,tt0029221"
decade_1930s,decade,1930s,primary_genre_Mystery,primary_genre,Mystery,1,tt0175851
decade_1930s,decade,1930s,primary_genre_News,primary_genre,News,1,tt1838546
decade_1930s,decade,1930s,primary_genre_Short,primary_genre,Short,12,"tt0200277,tt0351531,tt0404778,tt0435354,tt1215107,tt12906414,tt1830639,tt2320282,tt32592403,tt35052034,tt4773722,tt4780420"
decade_1930s,decade,1930s,primary_genre_Thriller,primary_genre,Thriller,1,tt0030776
decade_1930s,decade,1930s,primary_genre_UNKNOWN,primary_genre,UNKNOWN,18,"tt0023224,tt0026346,tt0171185,tt0185482,tt0200034,tt0200078,tt0218632,tt0252006,tt0267430,tt0327559,tt0412975,tt0922528,tt0961182,tt1227900,tt1384119,tt1468286,tt2014237,tt4173368"
decade_1930s,decade,1930s,primary_genre_War,primary_genre,War,1,tt0030308
decade_1930s,decade,1930s,title_type_movie,title_type,movie,87,"tt0020661,tt0020894,tt0021052,tt0021243,tt0021570,tt0022029,tt0022434,tt0022876,tt0023128,tt0023224,tt0023900,tt0024060,tt0024143,tt0024560,tt0024867,tt0025239,tt0025403,tt0025416,tt0025664,tt0025681,tt0025796,tt0025883,tt0025913,tt0026246,tt0026346,tt0026551,tt0027139,tt0027214,tt0027859,tt0028360,tt0028695,tt0029221,tt0029994,tt0030308,tt0030479,tt0030485,tt0030692,tt0030776,tt0031158,tt0031267,tt0031269,tt0031542,tt0031556,tt0032080,tt0128186,tt0130872,tt0140388,tt0150495,tt0160970,tt0165074,tt0165167,tt0171185,tt0185482,tt0194651,tt0200034,tt0200078,tt0218632,tt0230301,tt0237654,tt0250999,tt0252006,tt0254216,tt0264788,tt0267430,tt0294347,tt0327559,tt0438469,tt0481414,tt0787248,tt0829258,tt0922528,tt0961182,tt10732732,tt10774304,tt11143714,tt11640796,tt11670494,tt1226772,tt1227900,tt1270659,tt1468286,tt18937546,tt2014237,tt3884080,tt7810150,tt8871264,tt9066652"
decade_1930s,decade,1930s,title_type_short,title_type,short,54,"tt0020671,tt0021196,tt0022227,tt0022883,tt0024920,tt0025126,tt0025448,tt0026501,tt0028987,tt0031240,tt0128943,tt0148629,tt0153978,tt0161338,tt0175851,tt0182909,tt0200277,tt0212186,tt0225758,tt0331241,tt0351531,tt0404778,tt0406738,tt0407239,tt0435354,tt0443060,tt0497825,tt0832864,tt0948654,tt1215107,tt12906414,tt1489254,tt1624934,tt1743326,tt1830639,tt1838546,tt1934240,tt2094184,tt22405258,tt2320282,tt32592403,tt33333509,tt35052034,tt38632738,tt39053756,tt39075486,tt39206123,tt39206659,tt41869026,tt4487882,tt4773722,tt4780420,tt6068986,tt9139014"
decade_1930s,decade,1930s,title_type_tvEpisode,title_type,tvEpisode,4,"tt1384119,tt4173368,tt5194786,tt5255444"
decade_1930s,decade,1930s,title_type_tvMovie,title_type,tvMovie,3,"tt0259257,tt0412975,tt0416754"
decade_1940s,decade,1940s,primary_genre_Action,primary_genre,Action,3,"tt0032530,tt0036061,tt0037895"
decade_1940s,decade,1940s,primary_genre_Adventure,primary_genre,Adventure,3,"tt0032273,tt0033048,tt0033883"
decade_1940s,decade,1940s,primary_genre_Animation,primary_genre,Animation,15,"tt0033724,tt0033838,tt0034861,tt0036546,tt0036849,tt0037073,tt0037571,tt0038657,tt0140864,tt0142373,tt0150724,tt23668468,tt34512958,tt37357689,tt7908484"
decade_1940s,decade,1940s,primary_genre_Biography,primary_genre,Biography,1,tt0175437
decade_1940s,decade,1940s,primary_genre_Comedy,primary_genre,Comedy,25,"tt0032777,tt0033986,tt0034328,tt0034826,tt0035065,tt0035560,tt0036709,tt0039337,tt0039532,tt0040816,tt0040884,tt0041189,tt0041681,tt0150283,tt0199738,tt0223160,tt0274709,tt0294422,tt1450598,tt1470228,tt23985500,tt39337027,tt40600644,tt4800094,tt7532486"
decade_1940s,decade,1940s,primary_genre_Crime,primary_genre,Crime,8,"tt0032457,tt0032651,tt0033273,tt0033761,tt0039739,tt0122619,tt0134809,tt0242342"
decade_1940s,decade,1940s,primary_genre_Documentary,primary_genre,Documentary,20,"tt0033626,tt0034865,tt0036023,tt0036455,tt0039944,tt0143928,tt0166026,tt0187035,tt0239239,tt0347112,tt1590216,tt2859594,tt30515659,tt38119348,tt38493867,tt4048814,tt42484627,tt6286328,tt6891736,tt8819886"
decade_1940s,decade,1940s,primary_genre_Drama,primary_genre,Drama,37,"tt0032321,tt0033293,tt0034133,tt0034636,tt0034996,tt0035134,tt0035239,tt0035373,tt0035425,tt0035841,tt0036316,tt0036577,tt0036687,tt0036773,tt0037665,tt0039660,tt0039832,tt0042054,tt0135751,tt0164037,tt0171188,tt0181291,tt0220485,tt0233669,tt0236312,tt0283265,tt0595732,tt0622288,tt0700848,tt0881357,tt1330588,tt1659213,tt2195098,tt30973048,tt38638858,tt42935665,tt9699108"
decade_1940s,decade,1940s,primary_genre_Family,primary_genre,Family,7,"tt0210324,tt12583186,tt2063296,tt36604111,tt39670466,tt41588111,tt43196058"
decade_1940s,decade,1940s,primary_genre_Game-Show,primary_genre,Game-Show,1,tt39693894
decade_1940s,decade,1940s,primary_genre_Horror,primary_genre,Horror,2,"tt0034521,tt2056733"
decade_1940s,decade,1940s,primary_genre_Music,primary_genre,Music,12,"tt0245578,tt0361295,tt0364543,tt2109524,tt2109675,tt2277117,tt2291425,tt27262611,tt28659839,tt39373022,tt43136173,tt5478986"
decade_1940s,decade,1940s,primary_genre_Musical,primary_genre,Musical,1,tt0032562
decade_1940s,decade,1940s,primary_genre_Short,primary_genre,Short,7,"tt0036652,tt0037305,tt0038483,tt0293213,tt10505018,tt1669638,tt1909289"
decade_1940s,decade,1940s,primary_genre_UNKNOWN,primary_genre,UNKNOWN,9,"tt0158447,tt0213511,tt0450788,tt1164637,tt1341171,tt1566479,tt29351347,tt41672878,tt41673780"
decade_1940s,decade,1940s,primary_genre_Western,primary_genre,Western,1,tt0041308
decade_1940s,decade,1940s,title_type_movie,title_type,movie,73,"tt0032273,tt0032321,tt0032457,tt0032530,tt0032562,tt0032651,tt0032777,tt0033048,tt0033293,tt0033761,tt0033883,tt0033986,tt0034133,tt0034328,tt0034521,tt0034636,tt0034826,tt0034996,tt0035134,tt0035239,tt0035373,tt0035425,tt0035560,tt0035841,tt0036061,tt0036316,tt0036577,tt0036687,tt0036709,tt0036773,tt0036849,tt0037665,tt0037895,tt0039337,tt0039532,tt0039660,tt0039739,tt0039832,tt0040816,tt0040884,tt0041189,tt0041308,tt0041681,tt0042054,tt0122619,tt0134809,tt0135751,tt0150283,tt0158447,tt0164037,tt0171188,tt0175437,tt0181291,tt0199738,tt0210324,tt0213511,tt0220485,tt0223160,tt0233669,tt0236312,tt0242342,tt0274709,tt0283265,tt0450788,tt0881357,tt1164637,tt1330588,tt1341171,tt1566479,tt2195098,tt38638858,tt4800094,tt9699108"
