descriptor_ui,replication_count,nodes
D000290,3,"node_1,node_10,node_7"
D000291,4,"node_1,node_6,node_7,node_8"
D000292,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000293,3,"node_1,node_2,node_8"
D000294,3,"node_1,node_5,node_8"
D000295,3,"node_10,node_6,node_7"
D000296,4,"node_1,node_10,node_6,node_7"
D000297,3,"node_1,node_10,node_6"
D000298,3,"node_10,node_2,node_8"
D000299,3,"node_10,node_2,node_8"
D000300,3,"node_1,node_10,node_5"
D000301,3,"node_2,node_6,node_7"
D000302,3,"node_1,node_5,node_6"
D000303,3,"node_1,node_10,node_7"
D000304,3,"node_1,node_6,node_8"
D000305,3,"node_2,node_5,node_7"
D000306,4,"node_1,node_10,node_6,node_7"
D000307,3,"node_1,node_10,node_7"
D000308,3,"node_1,node_10,node_7"
D000309,3,"node_1,node_10,node_7"
D000310,4,"node_1,node_10,node_6,node_7"
D000311,3,"node_1,node_5,node_6"
D000312,6,"node_1,node_10,node_5,node_6,node_7,node_8"
D000313,3,"node_1,node_5,node_6"
D000314,3,"node_1,node_10,node_5"
D000315,3,"node_1,node_10,node_6"
D000316,3,"node_2,node_6,node_7"
D000317,3,"node_2,node_6,node_7"
D000318,3,"node_2,node_6,node_7"
D000319,3,"node_2,node_6,node_7"
D000320,5,"node_1,node_5,node_6,node_7,node_8"
D000322,3,"node_2,node_6,node_7"
D000323,4,"node_1,node_2,node_6,node_8"
D000324,4,"node_2,node_5,node_6,node_7"
D000325,3,"node_2,node_6,node_7"
D000326,6,"node_1,node_10,node_5,node_6,node_7,node_8"
D000327,3,"node_1,node_6,node_8"
D000328,3,"node_1,node_2,node_8"
D000329,4,"node_1,node_2,node_5,node_8"
D000330,3,"node_10,node_5,node_6"
D000331,3,"node_2,node_6,node_7"
D000332,4,"node_1,node_6,node_7,node_8"
D000333,3,"node_10,node_2,node_7"
D000334,3,"node_1,node_6,node_8"
D000335,3,"node_2,node_5,node_6"
D000336,4,"node_10,node_2,node_5,node_6"
D000337,3,"node_10,node_6,node_7"
D000338,4,"node_1,node_2,node_7,node_8"
D000339,3,"node_1,node_5,node_8"
D000341,3,"node_1,node_10,node_2"
D000342,3,"node_1,node_5,node_8"
D000343,5,"node_1,node_10,node_2,node_7,node_8"
D000344,3,"node_1,node_5,node_6"
D000345,3,"node_10,node_2,node_6"
D000346,3,"node_2,node_7,node_8"
D000347,3,"node_1,node_10,node_6"
D000348,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000349,3,"node_2,node_5,node_7"
D000350,3,"node_2,node_5,node_7"
D000351,3,"node_2,node_5,node_7"
D000352,3,"node_2,node_5,node_7"
D000353,3,"node_2,node_5,node_7"
D000354,3,"node_2,node_5,node_7"
D000355,4,"node_1,node_10,node_5,node_6"
D000356,3,"node_10,node_2,node_6"
D000357,4,"node_1,node_10,node_5,node_7"
D000358,3,"node_10,node_5,node_6"
D000359,6,"node_1,node_2,node_5,node_6,node_7,node_8"
D000360,5,"node_1,node_10,node_2,node_5,node_8"
D000361,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000362,3,"node_10,node_2,node_8"
D000363,3,"node_10,node_5,node_6"
D000364,3,"node_10,node_5,node_6"
D000365,3,"node_1,node_6,node_8"
D000366,5,"node_1,node_10,node_6,node_7,node_8"
D000367,4,"node_2,node_5,node_7,node_8"
