fragment_1,fragment_2,overlap_size,node_1,node_2,same_node
top_category_A,subbranch_code_A11.118,51,node_1,node_2,False
top_category_A,subbranch_code_A11.148,20,node_1,node_3,False
top_category_A,subbranch_code_A11.251,43,node_1,node_4,False
top_category_A,subbranch_code_A11.270,1,node_1,node_5,False
top_category_A,subbranch_code_A11.284,259,node_1,node_6,False
top_category_A,subbranch_code_A11.299,2,node_1,node_7,False
top_category_A,subbranch_code_A11.329,41,node_1,node_8,False
top_category_A,subbranch_code_A11.382,24,node_1,node_9,False
top_category_A,subbranch_code_A11.409,6,node_1,node_10,False
top_category_A,subbranch_code_A11.436,62,node_1,node_1,True
top_category_A,subbranch_code_A11.443,10,node_1,node_2,False
top_category_A,subbranch_code_A11.450,1,node_1,node_3,False
top_category_A,subbranch_code_A11.497,17,node_1,node_4,False
top_category_A,subbranch_code_A11.500,3,node_1,node_5,False
top_category_A,subbranch_code_A11.561,1,node_1,node_6,False
top_category_A,subbranch_code_A11.600,1,node_1,node_7,False
top_category_A,subbranch_code_A11.620,10,node_1,node_8,False
top_category_A,subbranch_code_A11.627,25,node_1,node_9,False
top_category_A,subbranch_code_A11.642,1,node_1,node_10,False
top_category_A,subbranch_code_A11.650,13,node_1,node_1,True
top_category_A,subbranch_code_A11.671,90,node_1,node_2,False
top_category_A,subbranch_code_A11.690,1,node_1,node_3,False
top_category_A,subbranch_code_A11.700,1,node_1,node_4,False
top_category_A,subbranch_code_A11.710,1,node_1,node_5,False
top_category_A,subbranch_code_A11.733,15,node_1,node_6,False
top_category_A,subbranch_code_A11.750,1,node_1,node_7,False
top_category_A,subbranch_code_A11.760,1,node_1,node_8,False
top_category_A,subbranch_code_A11.789,1,node_1,node_9,False
top_category_A,subbranch_code_A11.828,1,node_1,node_10,False
top_category_A,subbranch_code_A11.868,1,node_1,node_1,True
top_category_A,subbranch_code_A11.870,9,node_1,node_2,False
top_category_A,subbranch_code_A11.872,42,node_1,node_3,False
top_category_A,subbranch_code_A11.900,1,node_1,node_4,False
top_category_A,subbranch_code_A12,1,node_1,node_5,False
top_category_A,subbranch_code_A12.098,1,node_1,node_6,False
top_category_A,subbranch_code_A12.200,23,node_1,node_7,False
top_category_A,subbranch_code_A12.207,29,node_1,node_8,False
top_category_A,subbranch_code_A12.383,5,node_1,node_9,False
top_category_A,subbranch_code_A12.459,3,node_1,node_10,False
top_category_A,subbranch_code_A12.519,1,node_1,node_1,True
top_category_A,subbranch_code_A12.580,1,node_1,node_2,False
top_category_A,subbranch_code_A12.790,8,node_1,node_3,False
top_category_A,subbranch_code_A12.895,1,node_1,node_4,False
top_category_A,subbranch_code_A13,1,node_1,node_5,False
top_category_A,subbranch_code_A13.048,1,node_1,node_6,False
top_category_A,subbranch_code_A13.073,1,node_1,node_7,False
top_category_A,subbranch_code_A13.075,1,node_1,node_8,False
top_category_A,subbranch_code_A13.078,1,node_1,node_9,False
top_category_A,subbranch_code_A13.079,1,node_1,node_10,False
top_category_A,subbranch_code_A13.080,1,node_1,node_1,True
top_category_A,subbranch_code_A13.093,2,node_1,node_2,False
top_category_A,subbranch_code_A13.114,1,node_1,node_3,False
top_category_A,subbranch_code_A13.163,1,node_1,node_4,False
top_category_A,subbranch_code_A13.223,1,node_1,node_5,False
top_category_A,subbranch_code_A13.242,1,node_1,node_6,False
top_category_A,subbranch_code_A13.246,1,node_1,node_7,False
top_category_A,subbranch_code_A13.250,1,node_1,node_8,False
top_category_A,subbranch_code_A13.265,1,node_1,node_9,False
top_category_A,subbranch_code_A13.316,1,node_1,node_10,False
top_category_A,subbranch_code_A13.332,1,node_1,node_1,True
top_category_A,subbranch_code_A13.350,3,node_1,node_2,False
top_category_A,subbranch_code_A13.365,1,node_1,node_3,False
top_category_A,subbranch_code_A13.370,1,node_1,node_4,False
top_category_A,subbranch_code_A13.395,3,node_1,node_5,False
top_category_A,subbranch_code_A13.408,1,node_1,node_6,False
top_category_A,subbranch_code_A13.421,1,node_1,node_7,False
top_category_A,subbranch_code_A13.433,1,node_1,node_8,False
top_category_A,subbranch_code_A13.445,1,node_1,node_9,False
top_category_A,subbranch_code_A13.449,1,node_1,node_10,False
top_category_A,subbranch_code_A13.453,1,node_1,node_1,True
top_category_A,subbranch_code_A13.463,1,node_1,node_2,False
top_category_A,subbranch_code_A13.468,1,node_1,node_3,False
top_category_A,subbranch_code_A13.473,3,node_1,node_4,False
top_category_A,subbranch_code_A13.491,1,node_1,node_5,False
top_category_A,subbranch_code_A13.507,2,node_1,node_6,False
top_category_A,subbranch_code_A13.518,1,node_1,node_7,False
top_category_A,subbranch_code_A13.530,1,node_1,node_8,False
top_category_A,subbranch_code_A13.564,1,node_1,node_9,False
top_category_A,subbranch_code_A13.574,1,node_1,node_10,False
top_category_A,subbranch_code_A13.589,1,node_1,node_1,True
top_category_A,subbranch_code_A13.600,1,node_1,node_2,False
top_category_A,subbranch_code_A13.641,1,node_1,node_3,False
top_category_A,subbranch_code_A13.655,1,node_1,node_4,False
top_category_A,subbranch_code_A13.660,1,node_1,node_5,False
top_category_A,subbranch_code_A13.686,1,node_1,node_6,False
top_category_A,subbranch_code_A13.706,2,node_1,node_7,False
top_category_A,subbranch_code_A13.734,1,node_1,node_8,False
top_category_A,subbranch_code_A13.750,1,node_1,node_9,False
top_category_A,subbranch_code_A13.811,1,node_1,node_10,False
top_category_A,subbranch_code_A13.820,1,node_1,node_1,True
top_category_A,subbranch_code_A13.853,3,node_1,node_2,False
top_category_A,subbranch_code_A13.869,5,node_1,node_3,False
top_category_A,subbranch_code_A13.895,1,node_1,node_4,False
top_category_A,subbranch_code_A13.939,1,node_1,node_5,False
top_category_A,subbranch_code_A13.950,1,node_1,node_6,False
top_category_A,subbranch_code_A13.970,1,node_1,node_7,False
top_category_A,subbranch_code_A14,1,node_1,node_8,False
top_category_A,subbranch_code_A14.194,1,node_1,node_9,False
top_category_A,subbranch_code_A14.363,1,node_1,node_10,False
top_category_A,subbranch_code_A14.521,11,node_1,node_1,True
top_category_A,subbranch_code_A14.530,4,node_1,node_2,False
top_category_A,subbranch_code_A14.549,56,node_1,node_3,False
top_category_A,subbranch_code_A14.724,9,node_1,node_4,False
top_category_A,subbranch_code_A14.907,2,node_1,node_5,False
top_category_A,subbranch_code_A15,1,node_1,node_6,False
top_category_A,subbranch_code_A15.145,54,node_1,node_7,False
top_category_A,subbranch_code_A15.378,17,node_1,node_8,False
top_category_A,subbranch_code_A15.382,76,node_1,node_9,False
top_category_A,subbranch_code_A16,1,node_1,node_10,False
top_category_A,subbranch_code_A16.094,1,node_1,node_1,True
top_category_A,subbranch_code_A16.142,1,node_1,node_2,False
top_category_A,subbranch_code_A16.166,1,node_1,node_3,False
top_category_A,subbranch_code_A16.178,1,node_1,node_4,False
top_category_A,subbranch_code_A16.216,1,node_1,node_5,False
top_category_A,subbranch_code_A16.254,12,node_1,node_6,False
top_category_A,subbranch_code_A16.331,7,node_1,node_7,False
top_category_A,subbranch_code_A16.378,13,node_1,node_8,False
top_category_A,subbranch_code_A16.441,1,node_1,node_9,False
top_category_A,subbranch_code_A16.504,6,node_1,node_10,False
top_category_A,subbranch_code_A16.535,1,node_1,node_1,True
top_category_A,subbranch_code_A16.551,1,node_1,node_2,False
top_category_A,subbranch_code_A16.567,1,node_1,node_3,False
top_category_A,subbranch_code_A16.599,1,node_1,node_4,False
top_category_A,subbranch_code_A16.615,1,node_1,node_5,False
top_category_A,subbranch_code_A16.623,1,node_1,node_6,False
top_category_A,subbranch_code_A16.627,1,node_1,node_7,False
top_category_A,subbranch_code_A16.629,1,node_1,node_8,False
top_category_A,subbranch_code_A16.630,1,node_1,node_9,False
top_category_A,subbranch_code_A16.660,1,node_1,node_10,False
top_category_A,subbranch_code_A16.675,1,node_1,node_1,True
top_category_A,subbranch_code_A16.690,4,node_1,node_2,False
top_category_A,subbranch_code_A16.710,6,node_1,node_3,False
top_category_A,subbranch_code_A16.830,1,node_1,node_4,False
top_category_A,subbranch_code_A16.835,2,node_1,node_5,False
top_category_A,subbranch_code_A16.890,1,node_1,node_6,False
top_category_A,subbranch_code_A16.920,1,node_1,node_7,False
top_category_A,subbranch_code_A16.935,1,node_1,node_8,False
top_category_A,subbranch_code_A16.950,1,node_1,node_9,False
top_category_A,subbranch_code_A17,1,node_1,node_10,False
top_category_A,subbranch_code_A17.100,1,node_1,node_1,True
top_category_A,subbranch_code_A17.360,6,node_1,node_2,False
top_category_A,subbranch_code_A17.600,1,node_1,node_3,False
top_category_A,subbranch_code_A17.815,9,node_1,node_4,False
top_category_A,subbranch_code_A18,1,node_1,node_5,False
top_category_A,subbranch_code_A18.005,1,node_1,node_6,False
top_category_A,subbranch_code_A18.024,28,node_1,node_7,False
top_category_A,subbranch_code_A18.400,8,node_1,node_8,False
top_category_A,subbranch_code_A18.450,4,node_1,node_9,False
top_category_A,subbranch_code_A18.550,2,node_1,node_10,False
top_category_A,subbranch_code_A18.560,1,node_1,node_1,True
top_category_A,subbranch_code_A19,1,node_1,node_2,False
top_category_A,subbranch_code_A19.311,2,node_1,node_3,False
top_category_A,subbranch_code_A19.374,2,node_1,node_4,False
top_category_A,subbranch_code_A19.530,1,node_1,node_5,False
