descriptor_ui,replication_count,nodes
D000254,4,"node_1,node_2,node_4,node_5"
D000255,5,"node_2,node_4,node_6,node_8,node_9"
D000256,3,"node_1,node_2,node_3"
D000257,2,"node_10,node_3"
D000258,2,"node_10,node_3"
D000259,3,"node_1,node_2,node_3"
D000260,3,"node_1,node_2,node_3"
D000261,3,"node_1,node_2,node_3"
D000262,4,"node_1,node_2,node_4,node_5"
D000263,3,"node_1,node_2,node_4"
D000264,3,"node_1,node_2,node_4"
D000265,3,"node_1,node_2,node_4"
D000266,5,"node_2,node_4,node_6,node_8,node_9"
D000267,2,"node_2,node_3"
D000268,3,"node_4,node_5,node_7"
D000269,5,"node_1,node_10,node_4,node_5,node_7"
D000270,5,"node_1,node_10,node_3,node_4,node_7"
D000272,3,"node_4,node_7,node_9"
D000273,3,"node_1,node_5,node_6"
D000274,5,"node_2,node_3,node_4,node_6,node_7"
D000275,3,"node_1,node_6,node_9"
D000276,3,"node_1,node_10,node_4"
D000277,4,"node_1,node_10,node_4,node_7"
D000278,3,"node_1,node_3,node_5"
D000279,3,"node_1,node_3,node_5"
D000280,3,"node_1,node_3,node_5"
D000281,3,"node_1,node_3,node_5"
D000282,3,"node_1,node_3,node_5"
D000283,3,"node_1,node_3,node_5"
D000284,3,"node_1,node_3,node_5"
D000285,3,"node_1,node_3,node_5"
D000286,3,"node_1,node_3,node_5"
D000287,3,"node_1,node_3,node_5"
D000288,3,"node_10,node_3,node_6"
D000289,2,"node_2,node_4"
D000290,2,"node_1,node_8"
D000291,4,"node_2,node_3,node_8,node_9"
D000292,5,"node_2,node_3,node_4,node_8,node_9"
D000293,2,"node_10,node_3"
D000294,3,"node_1,node_6,node_9"
D000295,3,"node_1,node_7,node_8"
D000296,5,"node_1,node_2,node_6,node_7,node_8"
D000297,2,"node_2,node_6"
D000298,3,"node_10,node_3,node_8"
D000299,3,"node_10,node_3,node_8"
D000300,2,"node_2,node_9"
D000301,4,"node_3,node_4,node_8,node_9"
D000302,2,"node_1,node_2"
D000303,3,"node_3,node_7,node_8"
D000304,3,"node_10,node_2,node_5"
D000305,3,"node_1,node_4,node_6"
D000306,5,"node_1,node_3,node_4,node_7,node_8"
D000307,3,"node_3,node_7,node_8"
D000308,3,"node_3,node_7,node_8"
D000309,3,"node_3,node_7,node_8"
D000310,5,"node_1,node_3,node_4,node_7,node_8"
