fragment_id,node_id,fragment_weight
subbranch_code_G02.300,node_4,1
subbranch_code_G02.607,node_10,2
subbranch_code_G02.860,node_1,1
subbranch_code_G03.015,node_2,1
subbranch_code_G03.030,node_2,1
subbranch_code_G03.040,node_10,2
subbranch_code_G03.787,node_4,1
subbranch_code_G04.580,node_10,1
subbranch_code_G07.025,node_10,2
subbranch_code_G07.180,node_1,1
subbranch_code_G07.265,node_4,1
subbranch_code_G07.410,node_4,1
subbranch_code_G07.690,node_4,1
subbranch_code_G08.686,node_4,1
subbranch_code_G09.188,node_4,1
subbranch_code_G11.561,node_10,1
subbranch_code_G14.010,node_1,1
subbranch_code_G14.020,node_2,1
subbranch_code_G16.012,node_5,3
subbranch_code_H01.671,node_4,1
subbranch_code_H02.403,node_6,2
subbranch_code_I01.076,node_1,1
subbranch_code_I01.198,node_3,1
subbranch_code_I01.880,node_6,2
subbranch_code_I03.050,node_1,1
subbranch_code_J01.576,node_4,1
subbranch_code_J01.637,node_10,3
subbranch_code_J03.540,node_1,1
subbranch_code_L01.462,node_5,1
subbranch_code_L01.559,node_10,1
subbranch_code_M01.050,node_4,1
subbranch_code_M01.060,node_5,1
subbranch_code_M01.526,node_4,1
subbranch_code_M01.643,node_2,2
subbranch_code_N02.278,node_10,2
subbranch_code_N02.421,node_10,1
subbranch_code_N03.219,node_10,2
subbranch_code_N03.540,node_6,1
subbranch_code_N03.706,node_5,1
subbranch_code_N04.452,node_6,1
subbranch_code_N05.700,node_10,1
subbranch_code_N05.715,node_10,1
subbranch_code_N06.850,node_10,9
