fragment_id,node_id,fragment_weight
subbranch_code_C01.830,node_2,2
subbranch_code_C01.925,node_3,3
subbranch_code_C04.557,node_3,9
subbranch_code_C04.588,node_1,3
subbranch_code_C04.730,node_2,1
subbranch_code_C05.116,node_2,3
subbranch_code_C05.660,node_2,1
subbranch_code_C06.405,node_3,1
subbranch_code_C07.550,node_10,1
subbranch_code_C08.618,node_10,1
subbranch_code_C08.730,node_10,1
subbranch_code_C09.218,node_4,1
subbranch_code_C09.775,node_10,1
subbranch_code_C10.177,node_4,1
subbranch_code_C10.228,node_7,1
subbranch_code_C10.292,node_4,2
subbranch_code_C10.668,node_2,1
subbranch_code_C10.720,node_10,1
subbranch_code_C11.590,node_10,1
subbranch_code_C11.710,node_1,1
subbranch_code_C12.050,node_3,12
subbranch_code_C12.100,node_7,3
subbranch_code_C12.200,node_10,2
subbranch_code_C12.800,node_3,1
subbranch_code_C12.950,node_10,1
subbranch_code_C14.280,node_4,1
subbranch_code_C16.131,node_2,7
subbranch_code_C16.320,node_7,4
subbranch_code_C17.300,node_7,1
subbranch_code_C17.800,node_1,7
subbranch_code_C18.452,node_2,9
subbranch_code_C19.053,node_3,8
subbranch_code_C19.344,node_4,2
subbranch_code_C19.391,node_10,1
subbranch_code_C19.700,node_3,1
subbranch_code_C20.111,node_3,1
subbranch_code_C20.673,node_9,1
subbranch_code_C22.021,node_10,1
subbranch_code_C22.039,node_4,1
subbranch_code_C23.550,node_7,6
subbranch_code_C23.888,node_1,1
subbranch_code_C25.723,node_10,1
subbranch_code_C26.017,node_10,1
subbranch_code_C26.733,node_7,1
subbranch_code_D01.029,node_1,3
subbranch_code_D01.268,node_1,1
subbranch_code_D01.303,node_10,1
subbranch_code_D01.496,node_4,1
subbranch_code_D01.552,node_9,1
subbranch_code_D01.695,node_10,1
subbranch_code_D01.857,node_10,1
subbranch_code_D02.033,node_10,1
subbranch_code_D02.047,node_3,2
subbranch_code_D02.065,node_10,6
subbranch_code_D02.092,node_10,6
subbranch_code_D02.113,node_2,1
subbranch_code_D02.241,node_1,15
subbranch_code_D02.355,node_8,2
subbranch_code_D02.455,node_10,9
subbranch_code_D02.522,node_9,4
subbranch_code_D02.540,node_8,1
subbranch_code_D02.626,node_8,2
subbranch_code_D02.675,node_1,1
subbranch_code_D02.705,node_1,1
subbranch_code_D02.886,node_10,7
subbranch_code_D03.066,node_7,1
subbranch_code_D03.132,node_3,2
subbranch_code_D03.383,node_8,3
subbranch_code_D03.633,node_3,23
subbranch_code_D04.210,node_4,3
subbranch_code_D04.345,node_10,1
subbranch_code_D04.615,node_9,2
subbranch_code_D05.750,node_10,3
subbranch_code_D06.472,node_9,1
subbranch_code_D08.211,node_7,2
subbranch_code_D08.811,node_7,29
subbranch_code_D09.067,node_4,3
subbranch_code_D09.408,node_4,6
subbranch_code_D09.811,node_8,1
subbranch_code_D10.251,node_8,1
subbranch_code_D10.570,node_4,1
subbranch_code_D12.125,node_3,1
subbranch_code_D12.644,node_2,1
subbranch_code_D12.776,node_3,11
subbranch_code_D13.570,node_9,1
subbranch_code_D13.695,node_3,12
subbranch_code_D20.777,node_1,1
subbranch_code_D23.050,node_9,1
subbranch_code_D25.223,node_10,1
subbranch_code_D25.720,node_8,1
subbranch_code_D26.650,node_9,1
subbranch_code_D27.505,node_3,5
subbranch_code_D27.720,node_8,2
subbranch_code_E01.370,node_1,2
subbranch_code_E02.037,node_1,1
subbranch_code_E02.190,node_10,1
subbranch_code_E02.319,node_3,10
subbranch_code_E02.760,node_2,1
subbranch_code_E02.831,node_10,1
subbranch_code_E04.270,node_10,1
subbranch_code_E04.520,node_4,4
subbranch_code_E04.580,node_10,1
subbranch_code_E05.196,node_1,1
subbranch_code_E05.318,node_8,1
subbranch_code_E05.723,node_8,1
subbranch_code_E06.658,node_1,1
subbranch_code_E06.780,node_1,1
subbranch_code_E06.931,node_1,1
subbranch_code_E07.695,node_10,1
subbranch_code_F01.058,node_3,1
subbranch_code_F01.145,node_4,2
subbranch_code_F01.393,node_2,1
subbranch_code_F01.658,node_4,1
subbranch_code_F02.784,node_4,2
subbranch_code_F03.950,node_1,1
subbranch_code_F04.096,node_1,2
subbranch_code_F04.754,node_1,1
subbranch_code_G01.015,node_7,1
subbranch_code_G01.482,node_10,1
subbranch_code_G01.750,node_10,1
subbranch_code_G02.010,node_10,1
subbranch_code_G02.111,node_7,3
subbranch_code_G02.300,node_7,1
subbranch_code_G02.607,node_2,2
subbranch_code_G02.860,node_2,1
subbranch_code_G03.015,node_7,1
subbranch_code_G03.030,node_1,1
subbranch_code_G03.040,node_7,2
subbranch_code_G03.787,node_7,1
subbranch_code_G04.580,node_2,1
subbranch_code_G07.025,node_7,2
subbranch_code_G07.180,node_8,1
subbranch_code_G07.265,node_2,1
subbranch_code_G07.410,node_7,1
subbranch_code_G07.690,node_7,1
subbranch_code_G08.686,node_1,1
subbranch_code_G09.188,node_7,1
subbranch_code_G11.561,node_2,1
subbranch_code_G14.010,node_10,1
subbranch_code_G14.020,node_3,1
subbranch_code_G16.012,node_1,3
subbranch_code_H01.671,node_10,1
subbranch_code_H02.403,node_1,2
subbranch_code_I01.076,node_1,1
subbranch_code_I01.198,node_2,1
subbranch_code_I01.880,node_4,2
subbranch_code_I03.050,node_8,1
subbranch_code_J01.576,node_8,1
subbranch_code_J01.637,node_1,3
subbranch_code_J03.540,node_8,1
subbranch_code_L01.462,node_3,1
subbranch_code_L01.559,node_1,1
subbranch_code_M01.050,node_10,1
subbranch_code_M01.060,node_10,1
subbranch_code_M01.526,node_10,1
subbranch_code_M01.643,node_3,2
subbranch_code_N02.278,node_1,2
subbranch_code_N02.421,node_8,1
subbranch_code_N03.219,node_1,2
subbranch_code_N03.540,node_1,1
subbranch_code_N03.706,node_4,1
subbranch_code_N04.452,node_4,1
subbranch_code_N05.700,node_4,1
subbranch_code_N05.715,node_2,1
subbranch_code_N06.850,node_4,9
