fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_descriptor_ids
top_category_F,top_category,F,subbranch_code_F01.145,subbranch_code,F01.145,2,"D000057,D000294"
top_category_F,top_category,F,subbranch_code_F01.393,subbranch_code,F01.393,1,D000184
top_category_F,top_category,F,subbranch_code_F01.658,subbranch_code,F01.658,1,D000124
top_category_F,top_category,F,subbranch_code_F02.784,subbranch_code,F02.784,2,"D000041,D000124"
top_category_F,top_category,F,subbranch_code_F03.950,subbranch_code,F03.950,1,D000275
top_category_F,top_category,F,subbranch_code_F04.096,subbranch_code,F04.096,2,"D000296,D000297"
top_category_F,top_category,F,subbranch_code_F04.754,subbranch_code,F04.754,1,D000035
top_category_F,top_category,F,subbranch_code_H02.403,subbranch_code,H02.403,1,D000296
top_category_G,top_category,G,branch_code_C12,branch_code,C12,1,D000022
top_category_G,top_category,G,branch_code_C16,branch_code,C16,1,D000016
top_category_G,top_category,G,branch_code_C26,branch_code,C26,1,D000016
top_category_G,top_category,G,branch_code_G01,branch_code,G01,3,"D000016,D000042,D000054"
top_category_G,top_category,G,branch_code_G02,branch_code,G02,5,"D000042,D000107,D000136,D000215,D000268"
top_category_G,top_category,G,branch_code_G03,branch_code,G03,4,"D000042,D000107,D000136,D000215"
top_category_G,top_category,G,branch_code_G04,branch_code,G04,1,D000200
top_category_G,top_category,G,branch_code_G07,branch_code,G07,6,"D000042,D000064,D000136,D000200,D000204,D000222"
top_category_G,top_category,G,branch_code_G08,branch_code,G08,1,D000022
top_category_G,top_category,G,branch_code_G09,branch_code,G09,1,D000136
top_category_G,top_category,G,branch_code_G11,branch_code,G11,1,D000200
top_category_G,top_category,G,branch_code_G14,branch_code,G14,2,"D000065,D000221"
top_category_G,top_category,G,branch_code_G16,branch_code,G16,3,"D000064,D000220,D000222"
top_category_G,top_category,G,branch_code_N06,branch_code,N06,1,D000016
top_category_G,top_category,G,subbranch_code_C12.050,subbranch_code,C12.050,1,D000022
top_category_G,top_category,G,subbranch_code_C16.131,subbranch_code,C16.131,1,D000016
top_category_G,top_category,G,subbranch_code_C26.733,subbranch_code,C26.733,1,D000016
top_category_G,top_category,G,subbranch_code_G01.015,subbranch_code,G01.015,1,D000042
top_category_G,top_category,G,subbranch_code_G01.482,subbranch_code,G01.482,1,D000054
top_category_G,top_category,G,subbranch_code_G01.750,subbranch_code,G01.750,1,D000016
top_category_G,top_category,G,subbranch_code_G02.010,subbranch_code,G02.010,1,D000042
top_category_G,top_category,G,subbranch_code_G02.111,subbranch_code,G02.111,3,"D000107,D000136,D000215"
top_category_G,top_category,G,subbranch_code_G02.300,subbranch_code,G02.300,1,D000136
top_category_G,top_category,G,subbranch_code_G02.607,subbranch_code,G02.607,2,"D000107,D000215"
top_category_G,top_category,G,subbranch_code_G02.860,subbranch_code,G02.860,1,D000268
top_category_G,top_category,G,subbranch_code_G03.015,subbranch_code,G03.015,1,D000042
top_category_G,top_category,G,subbranch_code_G03.030,subbranch_code,G03.030,1,D000136
top_category_G,top_category,G,subbranch_code_G03.040,subbranch_code,G03.040,2,"D000107,D000215"
top_category_G,top_category,G,subbranch_code_G03.787,subbranch_code,G03.787,1,D000042
top_category_G,top_category,G,subbranch_code_G04.580,subbranch_code,G04.580,1,D000200
top_category_G,top_category,G,subbranch_code_G07.025,subbranch_code,G07.025,2,"D000064,D000222"
top_category_G,top_category,G,subbranch_code_G07.180,subbranch_code,G07.180,1,D000204
top_category_G,top_category,G,subbranch_code_G07.265,subbranch_code,G07.265,1,D000200
top_category_G,top_category,G,subbranch_code_G07.410,subbranch_code,G07.410,1,D000136
top_category_G,top_category,G,subbranch_code_G07.690,subbranch_code,G07.690,1,D000042
top_category_G,top_category,G,subbranch_code_G08.686,subbranch_code,G08.686,1,D000022
top_category_G,top_category,G,subbranch_code_G09.188,subbranch_code,G09.188,1,D000136
top_category_G,top_category,G,subbranch_code_G11.561,subbranch_code,G11.561,1,D000200
top_category_G,top_category,G,subbranch_code_G14.010,subbranch_code,G14.010,1,D000065
top_category_G,top_category,G,subbranch_code_G14.020,subbranch_code,G14.020,1,D000221
top_category_G,top_category,G,subbranch_code_G16.012,subbranch_code,G16.012,3,"D000064,D000220,D000222"
top_category_G,top_category,G,subbranch_code_N06.850,subbranch_code,N06.850,1,D000016
top_category_H,top_category,H,branch_code_F04,branch_code,F04,1,D000296
top_category_H,top_category,H,branch_code_H01,branch_code,H01,1,D000162
top_category_H,top_category,H,branch_code_H02,branch_code,H02,2,"D000295,D000296"
top_category_H,top_category,H,subbranch_code_F04.096,subbranch_code,F04.096,1,D000296
top_category_H,top_category,H,subbranch_code_H01.671,subbranch_code,H01.671,1,D000162
top_category_H,top_category,H,subbranch_code_H02.403,subbranch_code,H02.403,2,"D000295,D000296"
top_category_I,top_category,I,branch_code_E02,branch_code,E02,1,D000203
top_category_I,top_category,I,branch_code_I01,branch_code,I01,3,"D000024,D000069,D000300"
top_category_I,top_category,I,branch_code_I03,branch_code,I03,1,D000203
top_category_I,top_category,I,branch_code_N02,branch_code,N02,1,D000203
top_category_I,top_category,I,subbranch_code_E02.760,subbranch_code,E02.760,1,D000203
top_category_I,top_category,I,subbranch_code_E02.831,subbranch_code,E02.831,1,D000203
top_category_I,top_category,I,subbranch_code_I01.076,subbranch_code,I01.076,1,D000069
top_category_I,top_category,I,subbranch_code_I01.198,subbranch_code,I01.198,1,D000024
top_category_I,top_category,I,subbranch_code_I01.880,subbranch_code,I01.880,2,"D000069,D000300"
top_category_I,top_category,I,subbranch_code_I03.050,subbranch_code,I03.050,1,D000203
top_category_I,top_category,I,subbranch_code_N02.421,subbranch_code,N02.421,1,D000203
top_category_J,top_category,J,branch_code_D01,branch_code,D01,1,D000149
top_category_J,top_category,J,branch_code_D05,branch_code,D05,1,D000180
top_category_J,top_category,J,branch_code_D25,branch_code,D25,2,"D000149,D000180"
top_category_J,top_category,J,branch_code_D27,branch_code,D27,1,D000269
top_category_J,top_category,J,branch_code_J01,branch_code,J01,4,"D000003,D000149,D000180,D000269"
top_category_J,top_category,J,branch_code_J03,branch_code,J03,1,D000003
top_category_J,top_category,J,subbranch_code_D01.029,subbranch_code,D01.029,1,D000149
top_category_J,top_category,J,subbranch_code_D01.303,subbranch_code,D01.303,1,D000149
top_category_J,top_category,J,subbranch_code_D01.695,subbranch_code,D01.695,1,D000149
top_category_J,top_category,J,subbranch_code_D01.857,subbranch_code,D01.857,1,D000149
top_category_J,top_category,J,subbranch_code_D05.750,subbranch_code,D05.750,1,D000180
top_category_J,top_category,J,subbranch_code_D25.223,subbranch_code,D25.223,1,D000149
top_category_J,top_category,J,subbranch_code_D25.720,subbranch_code,D25.720,1,D000180
top_category_J,top_category,J,subbranch_code_D27.720,subbranch_code,D27.720,1,D000269
top_category_J,top_category,J,subbranch_code_J01.576,subbranch_code,J01.576,1,D000003
top_category_J,top_category,J,subbranch_code_J01.637,subbranch_code,J01.637,3,"D000149,D000180,D000269"
top_category_J,top_category,J,subbranch_code_J03.540,subbranch_code,J03.540,1,D000003
top_category_L,top_category,L,branch_code_L01,branch_code,L01,2,"D000004,D000043"
top_category_L,top_category,L,subbranch_code_L01.462,subbranch_code,L01.462,1,D000043
top_category_L,top_category,L,subbranch_code_L01.559,subbranch_code,L01.559,1,D000004
top_category_M,top_category,M,branch_code_M01,branch_code,M01,5,"D000023,D000288,D000293,D000298,D000299"
top_category_M,top_category,M,subbranch_code_M01.050,subbranch_code,M01.050,1,D000023
top_category_M,top_category,M,subbranch_code_M01.060,subbranch_code,M01.060,1,D000293
top_category_M,top_category,M,subbranch_code_M01.526,subbranch_code,M01.526,1,D000288
top_category_M,top_category,M,subbranch_code_M01.643,subbranch_code,M01.643,2,"D000298,D000299"
top_category_N,top_category,N,branch_code_C16,branch_code,C16,1,D000016
top_category_N,top_category,N,branch_code_C26,branch_code,C26,1,D000016
top_category_N,top_category,N,branch_code_E02,branch_code,E02,1,D000203
top_category_N,top_category,N,branch_code_E05,branch_code,E05,1,D000206
top_category_N,top_category,N,branch_code_G01,branch_code,G01,1,D000016
top_category_N,top_category,N,branch_code_I03,branch_code,I03,1,D000203
top_category_N,top_category,N,branch_code_N02,branch_code,N02,3,"D000046,D000203,D000289"
top_category_N,top_category,N,branch_code_N03,branch_code,N03,4,"D000047,D000066,D000067,D000068"
top_category_N,top_category,N,branch_code_N04,branch_code,N04,1,D000289
top_category_N,top_category,N,branch_code_N05,branch_code,N05,2,"D000068,D000206"
top_category_N,top_category,N,branch_code_N06,branch_code,N06,9,"D000016,D000056,D000058,D000059,D000060,D000061,D000062,D000063,D000206"
top_category_N,top_category,N,subbranch_code_C16.131,subbranch_code,C16.131,1,D000016
top_category_N,top_category,N,subbranch_code_C26.733,subbranch_code,C26.733,1,D000016
top_category_N,top_category,N,subbranch_code_E02.760,subbranch_code,E02.760,1,D000203
